22.06.2021 - 23:49:14  |||| Cleaning temp folder 
22.06.2021 - 23:49:14  |||| Server is listening as 192.168.1.153:5001
22.06.2021 - 23:49:19  |||| Client 192.168.1.153:5001 is connecting to the server 192.168.1.153:5001
22.06.2021 - 23:49:19  |||| Client  number 1 STARTS
 is CONNECTED to the server 192.168.1.153:5001
22.06.2021 - 23:49:19  |||| Client 192.168.1.153:5001 is sending file input_files\randomdata with size 1048576 and checkum md5 72160ed350ecad3f8fddff781a98368f to the 192.168.1.153:5001 server.
22.06.2021 - 23:49:19  |||| Server 192.168.1.153:5001 try to recive file: randomdata with size 1048576bytes and checksum md5 72160ed350ecad3f8fddff781a98368f from  192.168.1.153:64373 client.
22.06.2021 - 23:49:45  |||| Client 192.168.1.153:5001 send file input_files\randomdata in 257 parts.
22.06.2021 - 23:49:45  |||| Server 192.168.1.153:5001 recived file randomdata in 257 parts.
22.06.2021 - 23:49:45  |||| Server 192.168.1.153:5001 merge recived file into output_files\output_randomdata.
22.06.2021 - 23:49:45  |||| Server 192.168.1.153:5001 merged recived files into output_files\output_randomdata with 257 parts.
22.06.2021 - 23:49:45  |||| Server 192.168.1.153:5001 downloaded file output_files\output_randomdata from client corectly. SERVER: 72160ed350ecad3f8fddff781a98368f is equal to CLIENT: 72160ed350ecad3f8fddff781a98368f
